Messages,Sentiment
we may see gap up opening on monday i believe huge potential in market as per budget event and positions very light we may easily seen up to 17000- 18500 levels in market so downside limited while huge upside seems in market,
what happened to this elephant.. stuck in negative.. are results already declared?,
Have an opinion on this news? Post your comment here.,
"Exhibited very good support around 1920..PCR writing says not willing to move below 1900 clear buy at this level all the subsidiary have started their run..LT result, budget trigger should take it for good bull run min target is aroun...&nbsp",
Intraday target is 1954. So buy defintely,
Buy Larsen as after Q3 results today Larsen will zoom to Rs.2200 levels and then head to Rs.2500 as order book and earnings growth visibility is robust.,
"Bonus is on Cards, most probably in next Quarter.",
"L&T : Intra Day Target : 1954 , buy buy buy ....",
May be cross 2100 level with in week after posted good result.,
All set for Loss .. Huge interest payment pending .. Now it start moving down till 1600,
One more day of high volatility remains LT should confirm the base of 1850 on Friday and from next week we can expect a bull run till 2180-2200.,
Have an opinion on this news? Post your comment here.,
"L&T : Intra Day target : 1860 , sell sell sell today for shorters in this counter....sell sell",
LT is heading towards retesting it s base of 1850 again don t buy now till 31 st buying will resume from 1st feb onwards..once budget direction is clear for infra sector.,
"Telcos oppose reserving 5G spectrum for captive use L&T, Tata Communications for it",
Stock Market latest news for more info v.gd/GjmAyK,
"Post a base Triangle breakout in mid-July, the stock resumed the larger uptrend. For the week gone by, it has formed a bullish outside bar pattern on the weekly chart, which reinforces the uptrend",
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
Please don t buy now as it highly uncertain for Thursday due to interest rate decision and geopolitical issue between Russia and Ukrainkeep cash as its just a dead cat bounceLT will touch 1800 only then start your buying.,
Looks like heading towards 1850 on tuesday..1800 should be very good base for new entry.,
Unlikely scenario analysis developed strong analytical skills developed strong. How? ..........bnfs.at/891c,
Fundamentally strong stock add at every dips for long term for more... bnfs.at/891c,
Getting benefit of short selling through buying at low price for education purpose,
"The technical charts of L&T looks bullish , recommend add on every dip in this counter.",
"L&T : Intra Day Target : 1930 , buy call given today for decent intra day gains / profits in this counter for retail investors.",
Are you also remained confused about when to buy and sell a stock.,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
Sell Larsen with target of 1905 & Stop loss at 1943...visit goyaltips,
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
Stock seen heavy volumes in last couple of days due to the latest news like investment for more info v.gd/GjmAyK,
Low Interest rates and system liquidity will be a reason for bullish in upcoming trading sessions. To know when exactly to trade for more info v.gd/GjmAyK,
Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,
Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,
this stocks looks good with very good fundamentals and at the same times good on technical charts,
Sound working capital management will be strong point to take this up with proper SL and target for more info v.gd/GjmAyK,
The weekly momentum indicator has triggered a bullish crossover. However The RSI factor should be considered to analyse the Entry point.for more info v.gd/GjmAyK,
Stock can recover up to 1970 today but Monday most likely will breach 1940 level on the way to 1900.,
Sound working capital management will be strong point to take this up with proper SL and target for more info v.gd/GjmAyK,
Profit booking would be seen now in this stock now book ur profit....wait to reenter at lower levels,
very soon we may expect bonus shares from this stock...??? buy buy,
To my knowledge yesterday results declared were of L,
Any comments on Q3 results declared yesterday??,
LARSEN GOOD FUNDAMENTAL KEEP ACCUMULATE AT EVERY DIP FOR LONG TURM VIEW . IN FUTURE IT WILL GIVE GOOD RETURN...,
"Ahead of the Budget session of Parliament, the finance ministry on Wednesday asked departments and ministries to restrict their expenses within the allocated limits. They have been advised to seek additional funds only for unavoidable expen...&nbsp",
on quaterly results sure it will lead 2600 or 2650 in d month of January 22.,
looks good for coming months so entered into the trade,
To knw Queen of future This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,
LT sell call for 1900 target date 25th January.stock has decent run from around 1800 till 2080a healthy correction till 1900 is good for next move till 2200.,
Buy Larsen as it is heading to Rs.2200 and after crossing RS.2200 Larsen will head to Rs.2500 as order book is robust and Q3 results will be out standing.,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
"quaterly result in 28th, January.....cheers",
Larsen MULTIBAGGER STOCK BULLISH INDICATION KEEP ADD ON PORTFOLIO .IT WILL GIVE GOOD RETURN IN FUTURE...,
"Caution advised: ICICI Bank, TCS, L&T among 8 overbought stocks in Nifty 50. There are other stocks which may show breakout structure, but still possesses the risk of high volatility and momentum, that may shift in any situation.",
To knw Queen of future This stock may give u 2x 3x returns this year for sure ..very bullish on techincal chart For any help orTips.... To knw Queen of future,
Be caution while creating fresh position in CE/PE coz technical view & data view is saying something different For AnyTips OrHelp wtzp... 73OO7 :311 :44,
"powergrid good move given cmp 211 add for 230/240 , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
Larsen will cross Rs.2200 and then head to Rs.2500 so buy Larsen as Q3 results will beat street estimates and earnings growth visibility is robust.,
woww...just amazing day target of 2060 achieved....good money made by my and stay tuned for more updates on this stock.,
"HUL stock strong on charts, Technical suggest BUY for target Rs.2350",
Buy it for investment purposes having strong fundamentals,
"Telle grm Profit_Junction : Dabur is bearish as per indicators in short term, buy it abv 588 for a tgt of 630 and sell it below 560 for a tgt of 530 in a week. I give freee intrdy sugggestions in my Tellee grm Profit_Junction",
Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,
"In order to beat the volatility of stock markets, it is also handy to have a predetermined intraday trading strategy and stick to it",
experts feel that new traders should invest in small amounts to test the waters,
That s because company stocks are usually volatile in the first hour of the day,
"For starters, they generally advice new traders to refrain from buying and selling stocks when the markets open for the day",
"Being slow and steady with looking at the activities that your money is to be used for would ensure that you invest in ventures that are good, useful and profitable.",
I wanna buy this share because I believe it will reach 2500 within a month,
"it is trading at super discounted price.. just keep adding this downfall. may get few more correction but not much. for long term add more at these level, it will be rocket once above 2450..",
"aszhul is hul, Keep shorting guys. take your own call and reduce risks. Good luck ",
HUL is done and dusted.See you at 2240 and good luck.Buberators are necked,
"Karab stock , short as soon as it goes up.  Awesome ashulr stock for shorters.thank u",
kya sadeka share hai. ek din badhta hai aur 19 din tatti karta hai.,
BTST for 2332 for Monday - My target for HUL is Rs 2332 for the short term with a stoploss of Rs 2264,
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
Mfcker hul bstrd hul bsdi hul chtya hul tatti hul Bshram hul,
2080 very soon not 2800 . Just replace the zero with one shift. Short blindly when it goes up out of 100 days you will make a loss for only 3 days,
"it is trading at super discounted price.. just keep adding this downfall. may get few more correction but not much. for long term add more at these level, it will be rocket once above 2450..",
Have an opinion on this news? Post your comment here.,
"aszhul is hul, Keep shorting guys. take your own call and reduce risks. Good luck ",
HUL is done and dusted.See you at 2240 and good luck.Buberators are necked,
"Karab stock , short as soon as it goes up.  Awesome ashulr stock for shorters.thank u",
kya sadeka share hai. ek din badhta hai aur 19 din tatti karta hai.,
BTST for 2332 for Monday - My target for HUL is Rs 2332 for the short term with a stoploss of Rs 2264,
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
Mfcker hul bstrd hul bsdi hul chtya hul tatti hul Bshram hul,
2080 very soon not 2800 . Just replace the zero with one shift. Short blindly when it goes up out of 100 days you will make a loss for only 3 days,
"it is trading at super discounted price.. just keep adding this downfall. may get few more correction but not much. for long term add more at these level, it will be rocket once above 2450..",
Have an opinion on this news? Post your comment here.,
"aszhul is hul, Keep shorting guys. take your own call and reduce risks. Good luck ",
HUL is done and dusted.See you at 2240 and good luck.Buberators are necked,
"Karab stock , short as soon as it goes up.  Awesome ashulr stock for shorters.thank u",
kya sadeka share hai. ek din badhta hai aur 19 din tatti karta hai.,
BTST for 2332 for Monday - My target for HUL is Rs 2332 for the short term with a stoploss of Rs 2264,
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
Mfcker hul bstrd hul bsdi hul chtya hul tatti hul Bshram hul,
2080 very soon not 2800 . Just replace the zero with one shift. Short blindly when it goes up out of 100 days you will make a loss for only 3 days,
"it is trading at super discounted price.. just keep adding this downfall. may get few more correction but not much. for long term add more at these level, it will be rocket once above 2450..",
Have an opinion on this news? Post your comment here.,
"aszhul is hul, Keep shorting guys. take your own call and reduce risks. Good luck ",
HUL is done and dusted.See you at 2240 and good luck.Buberators are necked,
"Karab stock , short as soon as it goes up.  Awesome ashulr stock for shorters.thank u",
kya sadeka share hai. ek din badhta hai aur 19 din tatti karta hai.,
BTST for 2332 for Monday - My target for HUL is Rs 2332 for the short term with a stoploss of Rs 2264,
Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,
Mfcker hul bstrd hul bsdi hul chtya hul tatti hul Bshram hul,
2080 very soon not 2800 . Just replace the zero with one shift. Short blindly when it goes up out of 100 days you will make a loss for only 3 days,
"This stock might give you 2x,3x return this year without a doubt... extremely bullish",
"Whenever something big goes wrong, a lot of people panic and sell their investments",
"Looking at history, the markets recovered from the coronavirus crisis, the 2008 financial crisis",
Most people dismiss many of the best and most profitable investment ideas,
Have an opinion on this news? Post your comment here.,
I think it will reach 2500 within a month. That`s why I am buying it.,
"Some Unauthorized News is coming from another forums, check now... Queen of future",
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
"Sbi life insurence at dip 1173 and target will 1200/1230 , For AnyTips OrHelp wtzp... 73OO7 :311 :44",
checking patience heavily. thats why only 5% of people in market earn money. jo tik gya usi ka target hit kia,
"Hindustan Unilever said India continues to be among the top three priority markets for its parent Unilever, which has announced an organisational restructuring",
HUL says India continues to be among top 3 priority markets for Unilever,
"HUL : Intra Day Target : 2293 , buy buy call given today for decent intra day gains in this counter.",
PMC fincrop next multibigger stock target RS.10 plus March 2022 buy and hold once again RS.100 plus next 2 years bnfs.at/891c,
BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST ......... bnfs.at/891c,
both target hit profit booking may start now..long term players may hold or try to reenter at lower levels..,
HUL BUY ON DIP AND ADD IN PORTFOLIO IT WILL GIVE GOOD RETURN,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
as per Open interest data and PCR ratio suggesting monday market will be in huge height buy huge opening and supported by all global indexes and sgx nifty is green..buy as much as u can..,
Wait for result this stock give you recovery but some slowly.. wait for next resistance levels...,
very soon the CEO will be fired for keeping HUL low and giving negative vibes and not taking care of investors.You will see a major shift. Short till it reaches 2100 and buy once it reaches 2100. FandO players are making a huge loss and don...&nbsp,
Best time for investment in pharma more detls. DONT MISS THIS TIME.. Queen of future,
every correction is a right time for investment in large cap shares for longtime.,
"HUL stock looks Good accumulate every price Can go up very quickly from these levels, watch it .",
Will see more upward moments so just wait and watch...,
Buy it for investment purposes having strong fundamentals,
HUL : intra day target : 2395 on the selling side for shorters to make good money today due to global market weakness.,
Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cost Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cos........... bnfs.at/891c,
Growth oriented stocks will be accumulated heavily by fiis and diis. Full list available............ bnfs.at/891c,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
This stock is a very good choice to your portfolio ...buy at current levels for Good investment,
This stock is a very good choice to your portfolio ...buy at current levels for Good investment.,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
buy as much as you can.... intraday target Rs.2500,
"As a result of hectic selling over the five days, the market capitalisation of BSE-listed companies have eroded by a whopping Rs 19,50,288.05 crore to Rs 2,60,52,149.66 crore. On Monday alone, the market capitalisation of BSE-listed firms t...&nbsp",
HUL IS GOOD STOCK IT WILL GIVE GOOD RETURN BUY ON DIP,
Don t give any weight to market forecasts. All opinion pro and con is already built into the price of equities today,
Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,
The dreams of boarders expecting upper circuits is shattered. This is satta bazaar,
Enough for todays insult. We will come back and short again tomorrow. la la lala la la lala .Bye bye !!!!,
"We keep buy on HUL , we see 16% EPS growth.",
"HUL : Intra Day Target : 2300 , buy call given today for decent intra day gains.",
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,
Have an opinion on this news? Post your comment here.,
"Fortunately, great investors of the past and present can provide us with guidance.",
An investor without investment objectives is like a traveler without a destination,
Investment is an asset or item that is purchased with the hope that it will generate income or appreciate in the future,
"Leading indicator RSI is placed at 60 which is showing further price strength. On a higher time frame, a counter formed a Morning Star pattern, which is a bullish reversal candlestick pattern.",
"Post a base Triangle breakout in mid-July, the stock resumed the larger uptrend. For the week gone by, it has formed a bullish outside bar pattern on the weekly chart, which reinforces the uptrend",
interested to make big together on profit sharing basis? wtzp .70.215.37.68.2,
only if you are interested lets work together on high conviction profit sharing basis and grow wtzp .7.0215.376.82,
"dont lose your hard earned money by gambling, lets work on high conviction on profit sharing wtzp .702.15.376.82",
"profits are made by waiting and hitting the iron when its hot, for profit sharing Wtzp .702.15.37.682",
lets grow big together on profit sharing basis amd grow big wtzp on .702.15.376.82,
good interview of ITC chairman Puri on moneycontrol. expect company to do well in long term. ITC is pure gold. only multibagger stock in Nifty with can give 10x to 15x returns in 5 to 7 years. Company is serious about demerger,
Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,
There is no need to panic and only add suggested see in the recent past suggested to add at Rs218 and touch even 236 but no way to sell and now when its available by 4 rupees down i only added and keep for the first target of 265 plus. In p...&nbsp,
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
"Any body idea why future having rs 4 discount, any bad news ?",
ITC can reach till 188 if the budget is painful for it.,
"ITC will launch a host of plant-based meat products, in anticipation of the burgeoning demand for meat substitutes and vegan meals in India. To begin with, ITC is launching plant-based burger patties and nuggets which mimic the taste of chi...&nbsp",
ITC SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT AT EVERY DIPS...,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
buy for target Rs.300 .... buy as much as you can.. hurry... it will fly like a rocket  after budget...,
"tu vhi hai na, , opto circuits main buy buy krk retailers ko chuna lgva diya",
"After having seen the results of HUL, it seems to me that ITC can also present a better Q3 result and the budget shouldnt be singling out cigarettes for tobacco taxation but making comprehensive tax strategy for all tobacco products thus no...&nbsp",
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
"Any body idea why future having rs 4 discount, any bad news ?",
ITC can reach till 188 if the budget is painful for it.,
"ITC will launch a host of plant-based meat products, in anticipation of the burgeoning demand for meat substitutes and vegan meals in India. To begin with, ITC is launching plant-based burger patties and nuggets which mimic the taste of chi...&nbsp",
ITC SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT AT EVERY DIPS...,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
buy for target Rs.300 .... buy as much as you can.. hurry... it will fly like a rocket  after budget...,
"tu vhi hai na, , opto circuits main buy buy krk retailers ko chuna lgva diya",
"After having seen the results of HUL, it seems to me that ITC can also present a better Q3 result and the budget shouldnt be singling out cigarettes for tobacco taxation but making comprehensive tax strategy for all tobacco products thus no...&nbsp",
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
"Any body idea why future having rs 4 discount, any bad news ?",
ITC can reach till 188 if the budget is painful for it.,
"ITC will launch a host of plant-based meat products, in anticipation of the burgeoning demand for meat substitutes and vegan meals in India. To begin with, ITC is launching plant-based burger patties and nuggets which mimic the taste of chi...&nbsp",
ITC SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT AT EVERY DIPS...,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
buy for target Rs.300 .... buy as much as you can.. hurry... it will fly like a rocket  after budget...,
"tu vhi hai na, , opto circuits main buy buy krk retailers ko chuna lgva diya",
"After having seen the results of HUL, it seems to me that ITC can also present a better Q3 result and the budget shouldnt be singling out cigarettes for tobacco taxation but making comprehensive tax strategy for all tobacco products thus no...&nbsp",
Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,
"Any body idea why future having rs 4 discount, any bad news ?",
ITC can reach till 188 if the budget is painful for it.,
"ITC will launch a host of plant-based meat products, in anticipation of the burgeoning demand for meat substitutes and vegan meals in India. To begin with, ITC is launching plant-based burger patties and nuggets which mimic the taste of chi...&nbsp",
ITC SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT AT EVERY DIPS...,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
The goal of dollar-cost averaging is to reduce the overall impact of volatility on the price of the target asset,
buy for target Rs.300 .... buy as much as you can.. hurry... it will fly like a rocket  after budget...,
"tu vhi hai na, , opto circuits main buy buy krk retailers ko chuna lgva diya",
"After having seen the results of HUL, it seems to me that ITC can also present a better Q3 result and the budget shouldnt be singling out cigarettes for tobacco taxation but making comprehensive tax strategy for all tobacco products thus no...&nbsp",
Lets play along with the operators. Carry out option selling now and enter the scrip after a nose dive in the valuation.,
It will go up now. So many retailers will enter in it. But on the budget day it will steep fall. Do option sell now and coverup all you losses in this scrip.,
today it will surely test last week high 227.5.,
"ITC Ltd : Intra Day Target 220 , buy buy call given today in this counter for good intra day profits...buy buy buy",
Its only a trap. No way to go up after budget. Do option selling to earn a good profit in this scrip.,
Interim Dividend expected on 3rd Feb will be around Rs. 5.5.,
"Any tax increase, if any, in the past was always passed on to the smokers, who never quit smoking irrespective of the cost. Net net, ITC always make good profit from cigarette business .",
"how much ITC has diversified the buisness, no one else has done it. increase in cigrette tax is of no impact to the company. all those who are getting scared, stop. they are just trying to create panic.",
"Indication a strong price strength, Check RSI. for more info v.gd/GjmAyK",
who ever buying now will rewarded hugely In near term.. 240 resistance is coming,
"In new Era of Crypto, Trading has become familiar with everyone however the right corner is still at right place which is .......bnfs.at/891c",
The target of ITC for the next 4 months is 310 with stop-loss at 175. for more v.gd/7VM4Cb,
Will see more positive levels in this stock so keep buying....,
"Buy beml cmp 1893 and next tgt 2000/2100 soon , for any helpOrTips wtzp.. 73OO73 :11:44",
Icici bank 720 cmp looking for 760/770 at my target forAnyHelp OrTips wtzp..... 73OO7 :31144,
"Look at option chain put It will zoom very fast, fresh buy and short covering for sure plus budget week... Hold and accumulate.",
"why no promerters in itc why no,any wrong with company ? ? ?",
demerger news confirm or fake pls update,
sell ITC as Maharashtra govt in talks to ban cigarettes and tobacco .. BUY BHEL now with target of Rs.75 by tomorrow morning,
For Stocks Quarterly result updates more info v.gd/GjmAyK,
"ITC Ltd : Intra day target : , sell sell sell call given today for shorters in this counter. Shorters will be active in this counter today.",
"Some Unauthorized News is coming from another forums, check now.",
DRMC why so it will hit upper circuit ?? whats the logic behind this?? just hava me tir maat maro,
Bcoz Due to hike in Cigarette taxes Fell in revenue for Government Due to smuggling of Cigrattees So Govt will Reduce Taxes,
"When running on tobacco and petrol taxes ,how do you expect this? Expect more",
"why are you going to buy crores of shares to bring it to upper circuit, idiot?.",
fundamentals are So Strong..ITC is Money making machine .. value is on table.. this type of market ITC will Saviour for all,
"No rationale bearish arguments in ITC earnings or in fundamental, soon we can see price. Zoom in this Stock..",
What is going on. the SGX Nifty is more than 300 points down.,
buy pnb housing for delivery it will blast target 580 rs.,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
Investing is not an easy mind game ....it requires patience to feel the power of stock market..... bnfs.at/891c,
"The supreme court case for gtl infra vs ed arc, gtl infra side case handled by abhishek manu singhvi, which means manoj t has strong support.... bnfs.at/891c",
To know the stocks details and updates for more info v.gd/GjmAyK,
ITC GOOD BREAKOUT STRONG INDICATION BULLISH ZONE KEEP HOLD FOR LONG TURM...,
"Neither falling when market falls nor rising when markets rise, confusing counter. what to do",
ETFs are an increasingly popular product for traders and investors that capture broad indices or sectors in a single security.,
3750 crores net profit and 5.25 dividend.,
Itc will give dividend :3/- and bumper result,
Buy ITC immediately at current time Current level Target Rs 225 Rs achieved till Friday or Monday ,
you moron..Dont keep talking about Canara bank..If you want to talk about ITC you talk otherwise get lost.,
many believe ITC will dwell between 210 to 220 but this Time once It Crossed 220 afterThis budget this will never come back to below 220 level,
"See the kamal in CanBank. Waste ITC operators, could not even take it to 215. Even relief rally happened in this.",
Hope good news on ITC nasal spray in board meeting .,
Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,
"ITC Ltd : intra day target : 210 , sell sell sell , nifty is weak today.",
"Shame on ITC traders, see the recovery in other stocks. Canara bank is today made a stupendous recovery. ITC could not cross again 212. Shame on operators",
"In light of sharp turn around in hotel division, ITC is likely to raise interim dividend - buy for a target of 226.",
before result 220 possible ..... stoploss day low,
See the level of recovery in banking stocks. Eg Canara Bank recovered from 204 and now above to cross 215. All Nifty stocks are suffering from existence issue. Even RIL the hefty weight age stock is suffering.,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
just buy Itc Immediately at current time Current level Target Rs 218  beleive or not but zabardast jhatka uc,
Buy Buy Buy Itc immediately at current time Current level Target Rs 218 Nifty closed in green today ,
dont sell value stocks in panic.. eventually everyone looks into the profit.. ITC us cash generating machine.. this will run like a tata steel,
Buy Itc Immediately at current time Current level Target Rs 218 Rs Today achieved ,
Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,
Yesterday Nasdaq Are in Heavy Loss after news of Ukarine and Russia all okk Nasdaq Closed in green today fall is just a reaction of dax Closed in loss but no worry for indian market Today it will closed in green before 26th Jan  may be ...&nbsp,
Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,
"Your dad solved kya ! Non sense faku ! your mind is not at all stable, you urself will change ur words every 5 minutes.",
ITC IS GOOD STOCK FOR LONG TERM INVESTMENT IT WILL GIVE GOOD RETURN,
"BAJAJ FINANCE looking super strong here on, accumulate for Rs.7050 in short term",
Sound working capital management and controlled capex led consol net debt to decline,
If you check OI data it clear shows huge put writers at 15700 and 15750...giving good support as sgx nifty close in green by big margin..it clearly indicates bullish apttern in chart analysis...PCR ratio is also good..buy friends and best o...&nbsp,
i am selling this stock because i booked the profit,
"Bajajfinance Feb -6832.55, dip buy-6800 stay away below-6797 , fresh buy start above-6841.65, breakouts-7012 & 7047 & 7467 , tgts-6915-6965-6982-7000-7040-7072-7090-7105, extended tgts-7120-7150-7184-7245-7365-7405, stop loss-6685, dip buy ...&nbsp",
multibagger 2022 Indus tower buy.. blockbuster cal for 500-1000 soon,
"Strong levels, Good Result, Consolidated in last week, strongly recommend this stock for buying for more details... Queen of future",
Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cost Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cos ..bnfs.at/891c,
I believe it will be 25k in 2025! My personal opinion only,
The naked options seller is exposed to potentially unlimited losses in the event that the market moves against the position.,
no matter what may come in year 2025 this scrip will trade 35000 a piece. these small dents are opportunities for retailers to retire rich,
"Buy apollo hospital cmp 5592 and tomorrow morning 5709/5800 ,For AnyTips OrHelp wtzp... 73OO7 :311 :44",
GOOD MORNING ! BUY BAJ FINANCE NOW FOR FEB EXPIRY!7300/7500....8000 ON THE WAY! Enough Consolidation Done!,
Low Interest rates and system liquidity will be a reason for bullish in upcoming trading sessions. To know when exactly to trade for more info v.gd/GjmAyK,
"russia ukaraine problem finish, russia ukraine, grance germany signed in a treaty",
why si this sahre should we biy at this level i habe incured aloss of 1200 rupees worst share i have ever seen,
Buy Confidence petro promoter increase his holding,
Are you sure it is the same Motilal Oswal that is also listed and has given a target price of 9080 on 19th January? ,
pagal ho kya ? kuch be anab sharab bakthe ho...,
ye kab ka post hai bhai? aaj to me mirachi lage hai our ye message dekhker chakkar aa raha hai...,
6800-6400-6100 target for bajfina avoid buy. fiis are selling buy put options 6500 pe and sleep.,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
Buy around Rs.6500/-. Very high P/E ratio even though performance growth is decreasing.,
Never depend on single income. Make investment to create second source for more info.. Queen of future,
"2nd target was almost achieved. Still, markets are weak it can hit the second target by tomorrow and even go further down.",
soon 5000 pre covid levels possible all the high valuation junks will be sold by the bears.cheers,
1st target achieved. As I said below 7410 the stock looks weak. It did go a bit up trapping more retail investors but still achieved the target in a day.,
Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,
"Five digits coming shortly, this year there is also possibility of bonus shares",
"Tomm opening at 7600, by expiry it may touch 8400",
An options contract is an arrangement between two parties that grant rights to buy or sell an asset at a particular time in the future for a particular price.,
"Morgan Stanley has increased its overweight stance on the financial sector amid the emergence of multiple tailwinds. Rising short rates, higher credit growth, and peaking credit costs imply outperformance for Financials - we double our over...&nbsp",
as per last hour strong recovery we can see tomorrow gap up opening possible to 7800 to 8000 levels,
True. The index may even go down to 1700-16700 levels.,
"The Nifty broke its momentum support levels of 17,900 and tested 17,700. In the short term, selling pressure can push the index towards 17,350-17,450 mark. The medium-term outlook remains intact, as we dont see any signs of a trend reversal...&nbsp",
Tomorrow be ready all operator for strong upper circuit be ready for retailer buying opportunity........bnfs.at/891c,
BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,
BUY AND HOLD EXPECTED TOTAL SALE ABSORBED ANYTIME JUMP.............,
If it touches 7410 on downside than we can see a downfall till 7350 to 7300. Upside major resistance at 52 week high. Above that we can see good movement. As of now looking at the market conditions not expecting any major upside movement ti...&nbsp,
By Friday if Market Support s BAJF can Cross 8100 Levels SL 7500,
short hata lena nahi to kah jayegi Gap up me we made and entered again at days low on long side it s a one way towards 9000 now,
now it became far OTM and i believe no point in waiting.,
Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,
A OPPORTUNITY THIS TIME.........JO DAR GAYA VO ,
"volume 50 lakhs today, within one weak 9000 ,",
Could you just justify your comments with figures. What more can one expect from a large cap company. Profit moving up by over 84% and assets under management growing by over 21%. This type of growth can be expected from small cap companies...&nbsp,
who is this clown saying it will go to lower circuit? does he even understand finance?,
exact 18 months? Can you please reduce few months? lol..,
"Super duper Q3 results...sure to hit 10,000 before Q4.. and then comes a bonus and stock split to 1 face value per share ",
Sell..sell..sell..sell now..it will collapse to 7650 or 7580 after results are announced. Results are expected to be flat and below street expectations,
Best time for investment in pharma more detls. DONT MISS THIS TIME.,
"Friends. need to avoid buying PEs or CEs are the premiums are very high over two percent, and operator will et both sides post results and bring down premium by nearly a percent.",
"Despite the stock trading close to its 52W high, expect some correction post its quarterly results upto 7500",
For Stocks Quarterly result updates more info v.gd/GjmAyK,
Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,
"BAJAJ FINANCE looking super strong here on, accumulate for Rs.7950 in short term",
Rs200/- Very Soon Target of Electrosteel Casting Ltd,
Nifty will strongly bounce back due to positive global indexes and sgx nifty..buy as much as u can all nifty shares,
Investment in stock market is always subject to Market Risk.,
Q3 result may surpass the expectation of market. will touch 8000,
Nifty will strongly bounce back due to positive global indexes and sgx nifty..buy as much as u can all nifty shares,
"Remember corrections in market are temporary, growth is permanent use dips as buying opportunity for more info v.gd/GjmAyK",
